"DayOfWeek","Date Reported","Date Occurred","Time Occurred","Area ID","Reporting District","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay"
4,2023-08-16 00:00:00,2023-08-16 00:00:00,930,12,1213,"3004 3028 3034 4025",35,"M","W",101,231217761,8,9,0
6,2023-08-11 00:00:00,2023-07-28 00:00:00,1710,6,635,"4027 3004 3028 3030 3037",26,"F","B",101,230613710,7,17,14
6,2023-08-12 00:00:00,2023-08-11 00:00:00,2000,20,2029,"2004 3003 3024 3029 3033 3035 3037 3101 4027",41,"M","B",101,232014002,8,20,1
4,2023-08-16 00:00:00,2023-08-16 00:00:00,1,2,205,"4024 3036 3004 3028 3039",27,"M","W",101,230215530,8,0,0
2,2023-08-13 00:00:00,2023-08-07 00:00:00,2100,15,1565,"3101 3006 3028 4015 3030",22,"M","O",101,231513470,8,21,6
3,2023-08-11 00:00:00,2023-08-01 00:00:00,2000,14,1414,"3008 3024 3035 3036 3101 3401 3701 4014",20,"M","X",101,231415635,8,20,10
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1340,2,219,"3024 3101 4024 0605 3401 3701 3064 0947 3037 3033",31,"F","B",101,230215395,8,13,0
1,2023-08-14 00:00:00,2023-08-13 00:00:00,1200,3,379,"3006 3028 4025 3030",60,"M","B",101,230315048,8,12,1
4,2023-08-16 00:00:00,2023-08-16 00:00:00,2315,15,1555,"3011 3026 4026 3033 3034",53,"M","B",101,231513634,8,23,0
5,2023-08-12 00:00:00,2023-08-10 00:00:00,2225,3,398,"3011 3028 3039 4025",32,"M","H",101,230314932,8,22,2
3,2023-08-15 00:00:00,2023-08-15 00:00:00,150,1,166,"0605 3008 3026 3029 3036 4024",57,"M","B",101,230117917,8,1,0
5,2023-08-03 00:00:00,2023-08-03 00:00:00,1105,16,1684,"3004 4026 3036 3024 3101",24,"F","W",101,231610724,8,11,0
3,2023-08-11 00:00:00,2023-08-08 00:00:00,1858,8,811,"3009 3024 3035 3036 3101 3401 3701 4008",27,"M","H",101,230813048,8,18,3
5,2023-08-17 00:00:00,2023-08-17 00:00:00,832,19,1944,"3011 3028 4026 3030 3033 3034 3036",99,"M","O",101,231912933,8,8,0
2,2023-08-14 00:00:00,2023-08-14 00:00:00,2050,13,1373,"0605 3004 3026 3033 3037 3038 3101 4024 3401 3701",61,"F","H",101,231315631,8,20,0
4,2023-08-16 00:00:00,2023-08-16 00:00:00,1825,12,1283,"3009 3024 4025 3036",46,"M","B",101,231217785,8,18,0
4,2023-08-05 00:00:00,2023-07-19 00:00:00,1015,2,201,"0605 3030 4024",59,"M","O",101,230215591,7,10,17
4,2023-08-13 00:00:00,2023-08-02 00:00:00,1630,21,2169,"3101 3004 3026 4021 3029 3037",52,"F","W",101,232112839,8,16,11
4,2023-08-16 00:00:00,2023-08-16 00:00:00,810,10,1049,"3004 3026 4010 3034 3602",27,"M","H",101,231012608,8,8,0
6,2023-08-13 00:00:00,2023-08-11 00:00:00,1830,12,1266,"3003 3026 4012",23,"F","B",101,231217518,8,18,2
7,2023-08-15 00:00:00,2023-08-12 00:00:00,20,12,1265,"3004 3025 3029 4025",44,"F","B",101,231217674,8,0,3
3,2024-03-12 00:00:00,2023-08-08 00:00:00,830,10,1015,"3004 3028 4026 3030 3033 3035",52,"F","W",101,241006562,8,8,217
4,2023-08-16 00:00:00,2023-08-16 00:00:00,1645,9,935,"3012 3025 4026 3029 3032 3035 3036 3064",22,"F","H",101,230913041,8,16,0
1,2023-08-13 00:00:00,2023-08-13 00:00:00,1200,4,479,"3101 3401 3701 3037 3033 0605 3006 3028 3030 4024",46,"M","H",101,230411306,8,12,0
5,2023-08-17 00:00:00,2023-08-17 00:00:00,1520,6,645,"4027",35,"M","H",101,230613982,8,15,0
5,2023-08-11 00:00:00,2023-08-10 00:00:00,20,6,646,"3004 3025 3038 4006 3101 3401 3701",28,"M","W",101,230613686,8,0,1
6,2023-08-13 00:00:00,2023-08-11 00:00:00,550,19,1969,"3004 3024 4019 3036 3101",50,"M","H",101,231912776,8,5,2
5,2023-08-10 00:00:00,2023-08-10 00:00:00,2015,8,881,"3003 3024 3035 3037 3101 3401 3701 4027",25,"F","H",101,230813078,8,20,0
3,2024-03-12 00:00:00,2023-08-15 00:00:00,1011,21,2139,"3006 3028 4026 3030 3033 3035",29,"F","H",101,242106793,8,10,210
6,2024-03-06 00:00:00,2023-05-19 00:00:00,2300,12,1257,"4025 3029 3026 3004",58,"F","H",101,241207844,5,23,292
3,2023-08-15 00:00:00,2023-08-15 00:00:00,1330,1,159,"3101 3401 3701 3002 3037 0605 3028 3030 4024 3034",23,"M","H",101,230117927,8,13,0
1,2023-08-13 00:00:00,2023-08-13 00:00:00,530,13,1372,"3401 3701 0605 3011 3028 3030 3034 3037 3101 4024",99,"M","W",101,231315518,8,5,0
7,2023-08-19 00:00:00,2023-08-19 00:00:00,100,14,1462,"3028 4014 3004 3034 3036 3101 3401 3701",21,"M","W",101,231416005,8,1,0
7,2023-08-15 00:00:00,2023-08-12 00:00:00,1223,20,2044,"3035 3101 3401 3701 4027 3004 3037 3025",23,"F","A",101,232014123,8,12,3
2,2023-11-14 00:00:00,2023-11-13 00:00:00,1836,8,805,"3004 3026 3029 4027 3033 3037 3101 3401 3701",39,"F","H",101,230816834,11,18,1
1,2023-04-25 00:00:00,2023-04-16 00:00:00,1530,17,1793,"3003 3027 4026 3037 3101",65,"F","H",101,231708633,4,15,9
7,2023-10-28 00:00:00,2023-10-28 00:00:00,1020,9,963,"3101 3004 3028 4026 3030 3037",65,"M","O",101,230915752,10,10,0
4,2023-12-13 00:00:00,2023-12-13 00:00:00,220,20,2002,"3008 3024 3029 4027 3035 3037 3101 3401 3701",33,"F","B",101,232019116,12,2,0
3,2023-08-22 00:00:00,2023-08-22 00:00:00,1510,1,101,"0605 3004 3028 3033 3034 3036 3101 4024 3401 3701",43,"M","B",101,230118358,8,15,0
5,2023-08-24 00:00:00,2023-08-24 00:00:00,1440,11,1134,"3004 3026 4024 3033 3034",36,"M","O",101,231112619,8,14,0
7,2023-01-14 00:00:00,2023-01-14 00:00:00,2200,3,378,"4025 3003 3025 3029 3101",35,"M","B",101,230304667,1,22,0
2,2023-01-16 00:00:00,2023-01-16 00:00:00,830,1,185,"0605 3003 3026 3029 3033 3101 4024 3401 3701 3036",63,"M","H",101,230104991,1,8,0
3,2023-01-24 00:00:00,2023-01-24 00:00:00,2130,1,112,"0605 3028 3034 3101 4024 3401 3701 3011 3037 3033",43,"M","W",101,230105545,1,21,0
6,2023-02-03 00:00:00,2023-02-03 00:00:00,750,15,1545,"3004 3026 4026 3034 3037 3101",44,"M","H",101,231505332,2,7,0
4,2023-02-16 00:00:00,2023-02-15 00:00:00,2115,5,506,"3003 3024 3036 4025 3101",23,"M","H",101,230505694,2,21,1
4,2023-02-16 00:00:00,2023-02-15 00:00:00,1915,12,1239,"3004 3026 4025 3029 3036",22,"F","H",101,231206841,2,19,1
1,2023-02-13 00:00:00,2023-02-12 00:00:00,1430,12,1203,"4012 3028 3030 3006",54,"M","H",101,231206659,2,14,1
3,2023-01-25 00:00:00,2023-01-24 00:00:00,1150,1,185,"0605 3030 4024",27,"M","K",101,230106041,1,11,1
4,2023-02-01 00:00:00,2023-02-01 00:00:00,650,13,1385,"3401 3701 0605 3004 3026 3029 3033 3037 3101 4024",40,"M","H",101,231305543,2,6,0
5,2023-08-18 00:00:00,2023-08-17 00:00:00,2030,16,1663,"3004 3024 4026 3029 3101 3037",26,"M","O",101,231611175,8,20,1
4,2023-08-16 00:00:00,2023-08-16 00:00:00,1715,1,105,"3036 3101 4001 0605 3401 3701 3004 3024 3033 3035",15,"M","H",101,230118036,8,17,0
5,2023-08-17 00:00:00,2023-08-17 00:00:00,1210,1,152,"3025 3029 3101 4024 0605 3401 3701 3064 0947 3037",27,"M","H",101,230118088,8,12,0
7,2023-08-19 00:00:00,2023-08-19 00:00:00,130,1,185,"3101 3401 3701 3033 0605 3006 3028 4001 3039 3036",22,"M","H",101,230118145,8,1,0
7,2023-08-19 00:00:00,2023-08-19 00:00:00,630,1,135,"3101 3401 3701 3011 3036 3033 0605 3028 3034 4024",21,"M","H",101,230118161,8,6,0
7,2023-08-19 00:00:00,2023-08-19 00:00:00,2020,1,118,"3401 3701 0605 3008 3024 3029 3033 3037 3101 4024",30,"M","W",101,230118194,8,20,0
7,2023-08-20 00:00:00,2023-08-19 00:00:00,1100,1,165,"0605 3401 3701 3037 3033 3004 3026 3029 3101 4024",45,"M","H",101,230118205,8,11,1
1,2023-08-20 00:00:00,2023-08-20 00:00:00,1500,1,101,"3401 3701 0605 3006 3028 3033 3037 3039 4024 3101",40,"M","A",101,230118219,8,15,0
4,2024-03-22 00:00:00,2023-12-13 00:00:00,1900,11,1152,"3401 3701 4011 3006 3036 0605 3030 3101",42,"M","H",101,241106918,12,19,100
2,2023-07-30 00:00:00,2023-06-26 00:00:00,1800,13,1331,"0605 4024",67,"F","B",101,241310673,6,18,34
6,2023-01-25 00:00:00,2023-01-20 00:00:00,2100,13,1313,"4024 0605",30,"M","O",101,231305214,1,21,5
1,2023-08-20 00:00:00,2023-08-20 00:00:00,1825,1,165,"3401 3701 3037 0605 3004 3028 3033 3034 3101 4024",36,"M","J",101,230118232,8,18,0
4,2023-05-11 00:00:00,2023-05-10 00:00:00,2228,3,399,"4025 3004 3026 3029",62,"F","H",101,230310690,5,22,1
2,2023-08-21 00:00:00,2023-08-21 00:00:00,1840,1,131,"0605 3004 3025 3029 3033 3036 3101 4024 3401 3701",55,"F","H",101,230118310,8,18,0
3,2023-08-22 00:00:00,2023-08-22 00:00:00,745,1,195,"0605 3004 3026 3034 4024 3101 3401 3701 3036 3033",40,"M","H",101,230118326,8,7,0
3,2023-08-22 00:00:00,2023-08-22 00:00:00,1245,1,111,"0605 3003 3026 4024 1218 3002 3101 3401 3701 3037",27,"M","W",101,230118331,8,12,0
5,2023-08-23 00:00:00,2023-08-10 00:00:00,407,1,156,"0605 3003 3027 3101 4024 3037 3401 3701 3033 3035",62,"M","B",101,230118382,8,4,13
4,2023-08-23 00:00:00,2023-08-23 00:00:00,655,1,153,"3101 3401 3701 3037 3033 0605 3004 3028 3034 4024",37,"M","B",101,230118389,8,6,0
4,2023-08-23 00:00:00,2023-08-23 00:00:00,936,1,124,"3004 3026 3034 3101 3024",52,"M","B",101,230118402,8,9,0
6,2023-08-25 00:00:00,2023-08-25 00:00:00,105,1,157,"0605 3003 3025 3029 3033 3035 3037 3101 4024",40,"M","H",101,230118506,8,1,0
1,2023-08-15 00:00:00,2023-08-13 00:00:00,1830,2,236,"3004 3026 3029 3033 3037 0605 3101 3401 3701 4002",55,"F","A",101,230215475,8,18,2
